id,text,category
1,I often notice small sounds when others do not.,Sensory
2,I get strongly absorbed in one thing to the exclusion of everything else.,Circumscribed Interests
3,I sometimes notice small sounds when others do not.,Sensory
4,"I usually concentrate more on the whole picture, rather than the small details.",Social
5,I find it easy to do more than one thing at once.,Social
6,I enjoy social occasions.,Social
7,I find it difficult to work out people's intentions.,Social
8,I find social situations easy.,Social
9,I frequently get so strongly absorbed in one thing that I lose sight of other things.,Circumscribed Interests
10,I find it easy to figure out what someone is thinking or feeling just by looking at their face.,Social
11,I like to collect information about categories of things.,Circumscribed Interests
12,I find it easy to make new friends.,Social
13,I notice patterns in things all the time.,Circumscribed Interests
14,I would rather go to a library than a party.,Social
15,I find social situations confusing.,Social
16,I tend to notice details that others do not.,Sensory
17,I enjoy meeting new people.,Social
18,I notice small changes in a person's appearance.,Sensory
19,I prefer to do things the same way over and over again.,Circumscribed Interests
20,I find it easy to spot someone's mood from their facial expression.,Social
21,I only like to talk to people who share my special interests.,Circumscribed Interests
22,I get easily overwhelmed by sensory input.,Sensory
23,I often miss social cues.,Social
24,I enjoy being in crowded places.,Social
25,I often interpret things too literally.,Language
26,I like to be around other people.,Social
27,I often feel that I am talking 'at' someone rather than 'with' them.,Social
28,I prefer routines and get upset when they are changed.,Circumscribed Interests
29,I have difficulty understanding non-literal language.,Language
30,I find loud noises overwhelming.,Sensory
31,I enjoy social chit-chat.,Social
32,I often feel socially awkward.,Social
33,I find changes in my routine distressing.,Circumscribed Interests
34,I have a strong interest in specific topics.,Circumscribed Interests
35,I tend to take things literally.,Language
36,I avoid eye contact during conversations.,Social
37,I prefer to spend time alone.,Social
38,I often miss the point of jokes and sarcasm.,Language
39,I get anxious in unfamiliar situations.,Social
40,I like to have things in a particular order.,Circumscribed Interests
41,I often focus on parts of objects rather than the whole.,Sensory
42,I enjoy being the center of attention.,Social
43,I find facial expressions hard to read.,Social
44,I have trouble understanding others’ emotions.,Social
45,I enjoy participating in group conversations.,Social
46,I feel more comfortable with things than with people.,Social
47,I tend to monologue about my interests.,Circumscribed Interests
48,I find it difficult to understand body language.,Social
49,I enjoy team sports.,Social
50,I find it difficult to adapt to new environments.,Social
51,I often repeat phrases or sounds.,Circumscribed Interests
52,I enjoy spontaneous activities.,Social
53,I have trouble starting conversations.,Social
54,I prefer facts over stories.,Circumscribed Interests
55,I often misunderstand jokes.,Language
56,I like predictable situations.,Circumscribed Interests
57,I find it hard to know what to say in social situations.,Social
58,I enjoy multi-step tasks.,Circumscribed Interests
59,I often feel disconnected from others.,Social
60,I prefer to plan things in advance.,Circumscribed Interests
61,I feel uneasy in social gatherings.,Social
62,I enjoy discussing a wide variety of topics.,Social
63,I like to stick to my habits.,Circumscribed Interests
64,I often take comments too personally.,Social
65,I have trouble understanding metaphor.,Language
66,I feel more comfortable following a script in conversations.,Social
67,I often don’t realize I’m talking too much.,Social
68,I enjoy being spontaneous.,Social
69,I get upset by certain textures or fabrics.,Sensory
70,I find sudden noises distressing.,Sensory
71,I avoid group activities.,Social
72,I like working on repetitive tasks.,Circumscribed Interests
73,I find it easy to understand other people's perspectives.,Social
74,I am sensitive to lights and sounds.,Sensory
75,I like rules and structure.,Circumscribed Interests
76,I feel anxious when my schedule is disrupted.,Circumscribed Interests
77,I find comfort in routines.,Circumscribed Interests
78,I like spending time thinking about systems.,Circumscribed Interests
79,I often miss emotional cues in conversation.,Social
80,I enjoy fiction and imaginary worlds.,Circumscribed Interests
